,origin_latitude,origin_longitude,destination_latitude,destination_longitude
87,-22.8955312,-47.0476233,-22.8892937,-47.0214045
88,-22.8955312,-47.0476233,-22.853201,-47.048972
89,-22.8955312,-47.0476233,-22.8656567,-47.0417689
90,-22.882129,-47.065982,-22.882777,-47.063415
91,-22.918316,-47.039992,-22.905141,-47.067308
92,-22.8364341,-47.0795396,-22.815872,-47.090558
93,-22.869011,-47.045208,-22.848025,-47.063177
94,-22.8324762,-47.0765538,-22.889368,-47.062187
95,-22.8324762,-47.0765538,-22.790943,-47.082769
96,-22.892879,-47.054456,-22.902567,-47.055394
97,-22.9017198,-47.0546795,-22.8917999,-47.0553275
98,-22.8824935,-47.0688898,-22.878481,-47.074956
99,-22.896872,-47.078092,-22.91217,-47.083769
100,-22.896872,-47.078092,-22.90064,-47.0619296
101,-22.8256946,-47.0795132,-22.854375,-47.067487
102,-22.8256946,-47.0795132,-22.8220358,-47.0721451
103,-22.8256946,-47.0795132,-22.846897,-47.055046
104,-22.8256946,-47.0795132,-22.820825,-47.099867
105,-22.8256946,-47.0795132,-22.8214248,-47.0880762
106,-22.8256946,-47.0795132,-22.80231,-47.06696
107,-22.8256946,-47.0795132,-22.8225007,-47.0775375
108,-22.8256946,-47.0795132,-22.828192,-47.096922
109,-22.8256946,-47.0795132,-22.8286368,-47.09689179999999
110,-22.8256946,-47.0795132,-22.84628,-47.059021
111,-22.8256946,-47.0795132,-22.850644,-47.06685
112,-22.8256946,-47.0795132,-22.836688,-47.049242
113,-22.8232454,-47.0701065,-22.8209026,-47.0756921
114,-22.8232454,-47.0701065,-22.830911,-47.082363
115,-22.8232454,-47.0701065,-22.819405,-47.078215
116,-22.88056,-47.048059,-22.884722,-47.028556
117,-22.878841,-47.043354,-22.883415,-47.074164
118,-22.8955395,-47.0506333,-22.8977969,-47.0578464
119,-22.8955395,-47.0506333,-22.94554,-47.04925
120,-22.894077,-47.053494,-22.893117,-47.0534745
121,-22.885962,-47.031301,-22.8551156,-47.0414423
122,-22.932825,-47.077649,-22.929705,-47.081551
123,-22.932825,-47.077649,-22.907825,-47.062239
124,-22.932825,-47.077649,-22.926655,-47.036164
125,-22.932825,-47.077649,-22.926396,-47.096063
126,-22.8237337,-47.0705685,-22.8234142,-47.074213
127,-22.9101459,-47.08230349999999,-22.897004,-47.066418
128,-22.8833494,-47.0326975,-22.86516,-47.063549
129,-22.8934464,-47.0566484,-22.8492932,-47.0523185
130,-22.937552,-47.049975,-22.928429,-47.037345
131,-22.937552,-47.049975,-22.930941,-47.062541
132,-22.898779,-47.071856,-22.9112155,-47.1032326
133,-22.8568548,-47.0462289,-22.8586232,-47.0479824
134,-22.903993,-47.057262,-22.9218444,-47.0423846
135,-22.8549287,-47.0505574,-22.816079,-47.0245744
136,-22.9168303,-47.0868925,-22.918197,-47.088237
137,-22.9168303,-47.0868925,-22.905642,-47.068424
138,-22.856112,-47.046622,-22.8911602,-47.0557362
139,-22.9201154,-47.0585417,-22.934041,-47.060977
140,-22.8977678,-47.0494574,-22.8986302,-47.0667053
141,-22.8977678,-47.0494574,-22.8535667,-47.0681142
142,-22.8977678,-47.0494574,-22.901901,-47.058836
143,-22.848518,-47.038976,-22.8234112,-47.0718363
144,-22.848518,-47.038976,-22.8245,-47.070424
145,-22.930326,-47.091974,-22.9109659,-47.0676998
146,-22.8926308,-47.0601457,-22.88565,-47.044434
147,-22.8926308,-47.0601457,-22.90618,-47.050371
148,-22.882316,-47.066612,-22.882812,-47.067314
149,-22.882316,-47.066612,-22.8663547,-47.0349482
150,-22.853169,-47.03979,-22.889013,-47.052911
151,-22.909324,-47.0947239,-22.911278,-47.081605
152,-22.909324,-47.0947239,-22.916429,-47.109994
153,-22.8920403,-47.0755309,-22.8309328,-47.0756837
154,-22.8920403,-47.0755309,-22.9177996,-47.0474285
155,-22.8920403,-47.0755309,-22.898982,-47.060732
156,-22.909324,-47.0947239,-22.9234295,-47.072192
157,-22.909324,-47.0947239,-22.9038131,-47.09790049999999
158,-22.894807,-47.0550602,-22.952175,-47.050432
159,-22.894807,-47.0550602,-22.91493,-47.112039
160,-22.894807,-47.0550602,-22.8876604,-47.0358335
161,-22.894807,-47.0550602,-22.952118,-47.051358
162,-22.894807,-47.0550602,-22.894273,-47.050259
163,-22.9023718,-47.0575037,-22.8924228,-47.0539557
164,-22.829878,-47.080963,-22.8149082,-47.0950469
165,-22.8932023,-47.0548405,-22.9108873,-47.0583185
166,-22.8932023,-47.0548405,-22.8895551,-47.08143829999999
167,-22.8932023,-47.0548405,-22.919927,-47.047889
168,-22.902282,-47.057433,-22.922755,-47.10827
169,-22.823638,-47.084785,-22.826395,-47.079689
170,-22.90609,-47.058429,-22.885558,-47.038859
171,-22.864497,-47.022792,-22.8323795,-47.02295849999999
172,-22.909324,-47.094724,-22.910377,-47.090662
173,-22.8893437,-47.0653223,-22.914304,-47.0800217
174,-22.8893437,-47.0653223,-22.888006,-47.048229
